,success_rate,collision_rate,timeout_rate,num_trials,avg_speed,max_speed,avg_path_length,avg_control_effort,max_acceleration,avg_yaw_rate,max_yaw_rate,avg_reward,avg_min_obstacle_distance,scene
0,0.000,0.138,0.863,80,0.713,0.761,11.974,0.016,1.163,0.001,0.280,-0.873,1.271,box_2
50,0.825,0.175,0.000,80,1.156,1.251,11.234,0.094,2.201,0.003,0.286,0.547,1.270,box_2
100,0.838,0.163,0.000,80,1.067,1.294,11.245,0.098,2.389,0.001,0.144,0.564,1.278,box_2
150,0.850,0.150,0.000,80,1.166,1.526,11.323,0.122,2.592,0.001,0.163,0.396,1.272,box_2
200,0.887,0.113,0.000,80,1.070,1.415,11.555,0.094,2.482,0.002,0.174,0.631,1.311,box_2
250,0.850,0.150,0.000,80,1.083,1.448,11.204,0.110,2.539,0.000,0.153,0.546,1.270,box_2
300,0.875,0.125,0.000,80,1.062,1.421,11.433,0.111,2.650,0.000,0.156,0.631,1.304,box_2
350,0.825,0.175,0.000,80,1.081,1.460,11.204,0.109,2.591,0.001,0.137,0.605,1.271,box_2
400,0.850,0.150,0.000,80,1.081,1.448,11.208,0.118,2.640,0.000,0.132,0.570,1.273,box_2
450,0.838,0.163,0.000,80,1.101,1.493,11.372,0.111,2.689,0.001,0.135,0.548,1.277,box_2
500,0.475,0.125,0.400,80,0.704,0.987,10.557,0.058,2.087,-0.001,0.105,0.594,1.327,level_1
600,0.863,0.037,0.100,80,1.010,1.329,12.693,0.105,2.375,0.002,0.240,0.535,1.323,level_1
700,0.750,0.000,0.250,80,1.059,1.438,12.277,0.080,2.374,0.002,0.181,0.628,1.400,level_1
800,0.850,0.075,0.075,80,0.878,1.258,12.114,0.076,2.395,-0.001,0.281,0.535,1.311,level_1
900,0.887,0.013,0.100,80,0.903,1.251,12.291,0.083,2.406,-0.002,0.226,0.663,1.351,level_1
1000,0.087,0.000,0.912,80,0.763,1.397,12.889,0.076,2.570,-0.003,0.292,0.196,1.367,level_1
1100,0.925,0.000,0.075,80,1.067,1.354,12.485,0.095,2.442,-0.003,0.389,0.721,1.371,level_1
1200,0.900,0.013,0.087,80,1.000,1.312,12.401,0.108,2.610,-0.003,0.352,0.703,1.362,level_1
1300,0.875,0.025,0.100,80,0.969,1.375,12.575,0.092,2.484,-0.001,0.428,0.533,1.371,level_1
1400,0.887,0.000,0.113,80,0.940,1.267,12.092,0.130,2.754,-0.001,0.495,0.655,1.357,level_1
1500,0.875,0.000,0.125,80,0.923,1.200,12.261,0.107,2.553,-0.002,0.303,0.690,1.360,level_1
1600,0.075,0.000,0.925,80,0.739,1.364,12.835,0.065,2.401,-0.000,0.243,0.189,1.347,level_1
1700,0.912,0.000,0.087,80,1.142,1.525,12.427,0.119,2.586,0.001,0.372,0.648,1.393,level_1
1800,0.925,0.000,0.075,80,0.969,1.316,12.458,0.116,2.581,-0.004,0.435,0.694,1.367,level_1
1900,0.925,0.013,0.062,80,1.071,1.440,12.383,0.111,2.601,0.000,0.405,0.685,1.342,level_1
2000,0.887,0.013,0.100,80,1.063,1.418,12.557,0.090,2.384,0.001,0.338,0.697,1.371,level_1
2100,0.887,0.000,0.113,80,0.999,1.422,12.231,0.091,2.445,0.001,0.471,0.695,1.364,level_1
2200,0.662,0.025,0.312,80,0.796,1.164,12.101,0.077,2.264,0.000,0.404,0.698,1.350,level_1
2300,0.887,0.000,0.113,80,0.991,1.350,12.305,0.089,2.416,-0.002,0.242,0.742,1.375,level_1
2400,0.863,0.013,0.125,80,0.963,1.378,12.384,0.102,2.560,0.001,0.425,0.703,1.384,level_1
2500,0.887,0.000,0.113,80,0.928,1.351,12.450,0.079,2.338,0.001,0.440,0.703,1.383,level_1
2600,0.875,0.000,0.125,80,1.039,1.458,12.143,0.104,2.608,-0.001,0.492,0.710,1.387,level_1
2700,0.912,0.013,0.075,80,1.061,1.476,12.270,0.111,2.696,-0.002,0.353,0.704,1.354,level_1
2800,0.900,0.000,0.100,80,0.948,1.333,12.276,0.082,2.516,-0.000,0.399,0.747,1.375,level_1
2900,0.912,0.000,0.087,80,1.015,1.459,12.212,0.089,2.558,0.001,0.395,0.719,1.376,level_1
3000,0.912,0.000,0.087,80,1.003,1.385,12.402,0.107,2.678,0.001,0.526,0.722,1.369,level_1
3100,0.900,0.000,0.100,80,1.094,1.530,12.134,0.107,2.617,0.004,0.443,0.688,1.368,level_1
3200,0.887,0.000,0.113,80,1.058,1.503,12.348,0.119,2.787,0.001,0.528,0.711,1.389,level_1
3300,0.925,0.013,0.062,80,1.077,1.462,12.438,0.108,2.597,0.001,0.399,0.702,1.332,level_1
