,success_rate,collision_rate,timeout_rate,num_trials,avg_speed,max_speed,avg_path_length,avg_control_effort,max_acceleration,avg_yaw_rate,max_yaw_rate,avg_reward,avg_min_obstacle_distance,scene
0,0.000,0.787,0.212,80,0.992,1.118,8.860,0.911,1.898,-0.006,0.013,-2.024,0.419,box_2
50,0.125,0.163,0.713,80,0.807,1.269,11.542,0.488,2.878,-0.001,0.208,0.011,1.227,box_2
100,0.838,0.163,0.000,80,1.208,1.437,11.416,0.346,2.476,0.000,0.192,0.365,1.023,box_2
150,0.863,0.138,0.000,80,1.047,1.335,11.558,0.390,2.624,-0.002,0.114,0.568,1.170,box_2
200,0.838,0.163,0.000,80,1.098,1.445,11.257,0.434,2.819,-0.001,0.138,0.553,1.131,box_2
250,0.887,0.113,0.000,80,1.052,1.414,11.458,0.398,2.773,-0.000,0.157,0.587,1.178,box_2
300,0.863,0.138,0.000,80,1.098,1.472,11.292,0.458,2.766,0.001,0.161,0.527,1.162,box_2
350,0.850,0.150,0.000,80,1.121,1.507,11.420,0.298,2.820,-0.000,0.139,0.596,1.166,box_2
400,0.912,0.087,0.000,80,1.096,1.489,11.958,0.428,2.793,0.000,0.146,0.596,1.179,box_2
450,0.838,0.163,0.000,80,1.088,1.466,11.348,0.455,2.743,-0.000,0.136,0.529,1.089,box_2
500,0.375,0.163,0.463,80,0.726,1.099,11.175,0.328,2.492,0.001,0.124,0.372,0.897,level_1
600,0.000,0.050,0.950,80,0.669,1.093,11.893,0.192,2.125,-0.000,0.269,0.432,1.269,level_1
700,0.000,0.000,1.000,80,0.772,1.403,13.875,0.323,2.824,-0.001,0.259,0.071,0.976,level_1
800,0.775,0.000,0.225,80,0.880,1.196,12.394,0.281,2.524,0.002,0.169,0.623,1.251,level_1
900,0.863,0.025,0.113,80,0.944,1.383,12.981,0.273,2.666,-0.001,0.279,0.461,1.167,level_1
1000,0.838,0.025,0.138,80,0.823,1.144,12.454,0.331,2.824,0.001,0.304,0.610,1.264,level_1
1100,0.850,0.000,0.150,80,0.888,1.207,12.771,0.249,2.483,-0.000,0.220,0.588,1.216,level_1
1200,0.912,0.025,0.062,80,1.060,1.407,12.568,0.339,2.763,-0.002,0.299,0.531,1.068,level_1
1300,0.887,0.013,0.100,80,1.002,1.352,12.655,0.356,2.665,0.001,0.350,0.674,1.227,level_1
1400,0.887,0.013,0.100,80,0.901,1.347,12.712,0.329,2.798,0.000,0.473,0.544,1.125,level_1
1500,0.900,0.013,0.087,80,0.971,1.394,12.557,0.398,3.113,0.002,0.466,0.631,1.208,level_1
1600,0.887,0.000,0.113,80,1.037,1.459,12.562,0.411,2.890,0.001,0.362,0.615,1.146,level_1
1700,0.950,0.000,0.050,80,1.089,1.439,12.522,0.353,2.868,-0.000,0.353,0.695,1.245,level_1
1800,0.025,0.000,0.975,80,0.717,1.256,12.831,0.245,2.806,-0.000,0.308,0.434,1.224,level_1
1900,0.887,0.025,0.087,80,0.991,1.381,12.582,0.465,3.037,0.002,0.555,0.604,1.215,level_1
2000,0.925,0.037,0.037,80,1.136,1.537,12.556,0.426,2.952,-0.000,0.411,0.583,1.186,level_1
2100,0.963,0.000,0.037,80,1.107,1.452,12.669,0.315,2.715,-0.002,0.242,0.728,1.270,level_1
2200,0.925,0.000,0.075,80,1.035,1.374,12.493,0.382,2.821,0.001,0.328,0.690,1.256,level_1
2300,0.938,0.013,0.050,80,1.038,1.460,12.678,0.380,2.923,0.001,0.438,0.574,1.132,level_1
2400,0.938,0.013,0.050,80,1.013,1.376,12.533,0.270,2.556,-0.001,0.232,0.719,1.255,level_1
2500,0.912,0.000,0.087,80,1.068,1.483,12.360,0.363,2.894,-0.002,0.324,0.587,1.201,level_1
2600,0.925,0.013,0.062,80,1.024,1.374,12.402,0.391,2.834,0.000,0.383,0.697,1.228,level_1
2700,0.912,0.000,0.087,80,1.020,1.443,12.347,0.357,2.920,-0.002,0.378,0.734,1.254,level_1
2800,0.863,0.000,0.138,80,0.999,1.451,12.288,0.297,2.749,0.001,0.376,0.679,1.210,level_1
2900,0.887,0.013,0.100,80,1.031,1.427,12.421,0.269,2.616,-0.001,0.360,0.685,1.202,level_1
3000,0.912,0.000,0.087,80,0.991,1.359,12.394,0.361,2.892,-0.001,0.391,0.740,1.284,level_1
3100,0.925,0.000,0.075,80,1.012,1.409,12.404,0.424,2.913,-0.000,0.340,0.674,1.231,level_1
3200,0.938,0.000,0.062,80,0.967,1.399,12.475,0.309,2.771,0.001,0.352,0.700,1.253,level_1
3300,0.912,0.013,0.075,80,1.162,1.519,12.673,0.412,2.999,0.001,0.311,0.677,1.247,level_1
3400,0.912,0.000,0.087,80,0.968,1.373,12.868,0.314,2.670,-0.001,0.394,0.628,1.057,level_1
3500,0.950,0.025,0.025,80,1.033,1.467,12.333,0.366,2.741,0.001,0.434,0.710,1.277,level_1
3600,0.938,0.000,0.062,80,1.024,1.400,12.445,0.361,2.869,0.000,0.510,0.688,1.208,level_1
3700,0.938,0.000,0.062,80,1.102,1.504,12.595,0.402,3.077,-0.003,0.480,0.673,1.226,level_1
3800,0.925,0.013,0.062,80,1.037,1.420,12.547,0.408,2.891,0.001,0.353,0.705,1.267,level_1
3900,0.925,0.000,0.075,80,0.989,1.421,12.578,0.325,2.837,-0.001,0.518,0.666,1.235,level_1
4000,0.887,0.025,0.087,80,0.973,1.340,12.261,0.311,2.795,-0.004,0.323,0.655,1.232,level_1
4100,0.988,0.000,0.013,80,1.020,1.469,12.696,0.303,2.813,-0.002,0.406,0.652,1.178,level_1
4200,0.975,0.000,0.025,80,1.024,1.435,12.535,0.313,2.877,-0.001,0.371,0.703,1.207,level_1
4300,0.925,0.025,0.050,80,1.026,1.436,12.646,0.320,2.712,-0.002,0.247,0.684,1.257,level_1
4400,0.925,0.013,0.062,80,1.080,1.503,12.524,0.383,2.695,-0.000,0.386,0.691,1.206,level_1
4500,0.938,0.013,0.050,80,1.127,1.514,12.527,0.337,2.846,-0.001,0.306,0.673,1.222,level_1
4600,0.950,0.000,0.050,80,1.091,1.474,12.645,0.362,2.684,0.001,0.327,0.717,1.232,level_1
4700,0.950,0.013,0.037,80,1.075,1.463,12.501,0.396,2.880,-0.001,0.377,0.726,1.247,level_1
4800,0.975,0.013,0.013,80,1.038,1.423,12.542,0.334,2.663,-0.002,0.378,0.730,1.243,level_1
4900,0.925,0.025,0.050,80,1.033,1.416,12.401,0.336,2.793,-0.001,0.320,0.679,1.251,level_1
5000,0.975,0.000,0.025,80,1.066,1.399,12.667,0.401,2.757,-0.002,0.317,0.745,1.293,level_1
5100,0.912,0.013,0.075,80,1.038,1.440,12.603,0.383,2.849,-0.002,0.363,0.654,1.170,level_1
5200,0.963,0.000,0.037,80,1.055,1.442,12.554,0.336,2.801,-0.000,0.354,0.739,1.231,level_1
5300,0.950,0.000,0.050,80,1.071,1.518,12.437,0.275,2.637,-0.001,0.283,0.725,1.266,level_1
5400,0.950,0.000,0.050,80,1.056,1.475,12.502,0.444,2.986,-0.001,0.347,0.708,1.281,level_1
5500,0.912,0.000,0.087,80,1.048,1.476,12.342,0.329,2.831,-0.003,0.280,0.691,1.169,level_1
5600,0.925,0.000,0.075,80,1.076,1.457,12.528,0.398,2.806,0.002,0.322,0.744,1.276,level_1
5700,0.925,0.000,0.075,80,1.052,1.552,12.612,0.379,2.976,-0.001,0.336,0.651,1.201,level_1
5800,0.900,0.025,0.075,80,0.983,1.429,12.444,0.328,2.738,0.001,0.397,0.692,1.177,level_1
5900,0.912,0.000,0.087,80,1.053,1.494,12.614,0.354,2.848,-0.001,0.282,0.677,1.157,level_1
6000,0.875,0.000,0.125,80,1.139,1.530,12.529,0.336,2.833,-0.002,0.224,0.714,1.236,level_1
6100,0.950,0.000,0.050,80,1.035,1.439,12.297,0.380,2.802,0.000,0.249,0.731,1.219,level_1
6200,0.975,0.000,0.025,80,1.029,1.421,12.523,0.349,2.781,0.001,0.320,0.757,1.235,level_1
6300,0.950,0.000,0.050,80,1.037,1.427,12.553,0.381,2.835,-0.001,0.289,0.711,1.202,level_1
6400,0.963,0.000,0.037,80,1.082,1.477,12.605,0.304,2.729,0.000,0.281,0.723,1.195,level_1
6500,0.938,0.000,0.062,80,1.086,1.498,12.496,0.310,2.781,0.001,0.383,0.731,1.218,level_1
6600,0.963,0.000,0.037,80,1.112,1.493,12.591,0.383,2.936,-0.001,0.348,0.725,1.236,level_1
6700,0.950,0.000,0.050,80,1.015,1.421,12.511,0.339,2.693,0.000,0.322,0.705,1.236,level_1
6800,0.925,0.013,0.062,80,1.080,1.490,12.410,0.433,3.053,-0.001,0.440,0.700,1.244,level_1
6900,0.938,0.000,0.062,80,1.081,1.511,12.541,0.360,2.887,-0.001,0.344,0.706,1.225,level_1
7000,0.963,0.000,0.037,80,1.071,1.449,12.539,0.381,2.741,-0.001,0.252,0.701,1.239,level_1
7100,0.963,0.000,0.037,80,1.109,1.530,12.635,0.345,2.668,0.002,0.316,0.687,1.144,level_1
7200,0.963,0.000,0.037,80,1.078,1.502,12.526,0.418,3.071,0.001,0.328,0.710,1.253,level_1
7300,0.975,0.000,0.025,80,0.981,1.361,12.520,0.277,2.739,-0.000,0.248,0.748,1.230,level_1
7400,0.963,0.013,0.025,80,1.086,1.528,12.541,0.371,2.954,-0.000,0.361,0.714,1.217,level_1
7500,0.950,0.000,0.050,80,1.076,1.493,12.584,0.335,2.892,-0.000,0.262,0.738,1.246,level_1
7600,0.963,0.000,0.037,80,1.085,1.468,12.520,0.351,2.673,0.001,0.259,0.739,1.259,level_1
7700,0.938,0.000,0.062,80,1.059,1.450,12.620,0.289,2.673,0.001,0.293,0.706,1.196,level_1
7800,0.963,0.013,0.025,80,1.060,1.432,12.488,0.325,2.746,-0.000,0.250,0.731,1.238,level_1
7900,0.938,0.000,0.062,80,1.094,1.481,12.610,0.359,2.665,-0.002,0.276,0.728,1.214,level_1
8000,0.963,0.000,0.037,80,1.021,1.427,12.512,0.336,2.696,-0.000,0.304,0.745,1.242,level_1
8100,0.975,0.000,0.025,80,1.079,1.512,12.576,0.348,2.960,0.000,0.320,0.745,1.228,level_1
8200,0.963,0.000,0.037,80,1.090,1.491,12.609,0.302,2.881,0.001,0.285,0.754,1.272,level_1
